staSeq,locationNa,ylat,xlong,munName,ComID,HydroID,LCODE,maxD,source,holD
"19995",Woodridge Lake,41.800860000000000,-73.249290000000002,GOSHEN,"122986115","201492113",WRL,7.2000000000,ABM,18.3956818300
"18271",Lower Bolton Lake,41.801118000000002,-72.435286000000005,BOLTON,"116115490","201490223",LBO,7.9248000000,Fisheries,10.7952641300
"15613",Peck Pond,41.801800000000000,-73.468299999999999,SHARON,"122952871","201492481",PCK,,,2.2596280530
"16009",Middle Bolton Lake,41.809699999999999,-72.426199999999994,VERNON,"116115456","201490223",MBO,7.9248000000,Fisheries,8.6807067440
"19343",Mohawk Pond,41.810670000000002,-73.292580000000001,CORNWALL,"122947770","201492019",MOH,8.2296000000,Fisheries,3.8208592340
"19315",Dog Pond,41.814000000000000,-73.239000000000004,GOSHEN,"122981339","201491795",DOG,3.3528000000,Fisheries,6.2375292360
"15623",Knowlton Pond,41.834299999999999,-72.192300000000003,MANSFIELD,"116122720","201488846",KNO,2.1336000000,Fisheries,5.4819994680
"18948",Stillwater Pond,41.834870000000002,-73.148880000000005,TORRINGTON,"122981220","201491395",STI,7.9248000000,Fisheries,10.5818732500
"16011",Tyler Lake,41.837400000000002,-73.260599999999997,GOSHEN,"122947698","201491959",TYL,7.9248000000,Fisheries,11.7781995900
"16150",Halls Pond,41.843285999999999,-72.108528000000007,EASTFORD,"116108086","201488380",HAL,4.2672000000,Fisheries,8.5737505940
"15619",Ford Pond,41.853499999999997,-73.450900000000004,SHARON,"122952689","201491736",FOR,,,2.8485601030
"18677",Alexander Lake,41.854686000000001,-71.907174999999995,KILLINGLY,"122356299","201487988",ALE,16.1544000000,Fisheries,9.8442067830
"19028",West Side Pond,41.855159999999998,-73.256550000000004,GOSHEN,"122947662","201491429",WSP,10.0584000000,Fisheries,6.4495735970
"19803",Halls Pond (Willington),41.857093999999996,-72.298297000000005,WILLINGTON,"116098484","201488803",HLW,4.4704000000,ABM,4.6391308890
"18676",Alexander Lake,41.861690000000003,-71.899529999999999,KILLINGLY,"122356299","201487988",ALE,16.1544000000,Fisheries,9.8442067830
"15862",Hatch Pond,41.861800000000002,-73.469300000000004,SHARON,"122952642","201491697",HAT,,,3.0099377230
"20230",Killingly Pond,41.863000000000000,-71.793999999999997,KILLINGLY,"122357660","201487388",KIL,6.0960000000,Fisheries,8.9750638880
"15614",Burr Pond,41.868924999999997,-73.097700000000003,TORRINGTON,"123629933","201490678",BUR,3.9624000000,Fisheries,8.3866158750
"16165",West Hill Pond,41.877021999999997,-73.043053000000000,NEW HARTFORD,"123632852","201490410",WHP,17.9832000000,Fisheries,14.7302510200
"15618",Cream Hill Lake,41.884900000000002,-73.307800000000000,CORNWALL,"122973806","201490964",CRE,13.1064000000,Fisheries,18.8459467200
"15628",Lake McDonough (Compensating Reservoir),41.884900000000002,-72.960800000000006,NEW HARTFORD,"123632851","201490307",MCD,18.2880000000,Fisheries,
"14449",Shenipsit Lake,41.888599999999997,-72.423800000000000,TOLLAND,"123021047","201489051",SHE,20.7264000000,Fisheries,17.9411610100
"18949",Park Pond (Winchester),41.892150000000001,-73.146100000000004,WINCHESTER,"122968160","201490486",PAR,4.5720000000,Fisheries,13.4922506300
"18375",Beardsley Pond Deep Hole,41.896242999999998,-73.447373999999996,SHARON,"122972901","201491295",BDP,7.5000000000,ABM,4.2590360000
"16155",Mudge Pond,41.901100000000000,-73.471000000000004,SHARON,"122972881","201491353",MUD,10.0584000000,Fisheries,21.7668441500
"19357",Rainbow Reservoir,41.905000000000001,-72.713999999999999,WINDSOR,"123631308","201488991",RBR,15.2400000000,Fisheries,
"16156",Lake Winchester,41.911242999999999,-73.151799999999994,WINCHESTER,"122968089","201490469",WIN,5.1816000000,Fisheries,9.9609010810
